# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Português


# =============================================================================
# Interfaces and dialogs
# =============================================================================

website_main                        http://www.everybody-dies.com
website_main_retail                 http://www.defconthegame.com
website_main_retail_uk              http://www.defconvideogame.com
website_main_retail_multi_language  http://www.everybody-dies.com
website_buy                         http://store.introversion.co.uk
website_buy_steam                   steam://store/1520
website_buy_retail                  http://www.defconthegame.com
website_buy_retail_uk               http://www.defconvideogame.com
website_buy_retail_multi_language   http://www.everybody-dies.com
website_buy_macosx                  http://secure.ambrosiasw.com/add.php?action=add&item=3600
website_support                     http://www.everybody-dies.com/support/
website_support_retail              http://www.defconthegame.com/support/
website_support_retail_uk           http://www.defconvideogame.com/support/
website_support_retail_multi_language http://www.everybody-dies.com/support/
website_support_macosx              http://www.ambrosiasw.com/support/
website_mods                        http://www.everybody-dies.com/mods/
website_mods_retail                 http://www.defconthegame.com/mods/
website_mods_retail_uk              http://www.defconvideogame.com/mods/
website_mods_retail_multi_language  http://www.everybody-dies.com/mods/

dialog_mainmenu			Menu Principal
dialog_newgame			Novo Jogo
dialog_joingame			Unir-se a um Jogo
dialog_leavegame		Abandonar
dialog_manual                   Manual de usuário
dialog_exit			Sair do Defcon
dialog_confirm_exit		Confirmar Saída
dialog_preparing		Preparando...
dialog_game_starting		Iniciando Jogo...
dialog_tutorial_starting	Iniciando Tutorial...
dialog_exit_defcon		Sair do Defcon?
dialog_leave_this_game		Abandonar este jogo?
dialog_chapter			Capítulo *C
# C = Chapter
dialog_tutorial			Tutorial *T
# T = Tutorial
dialog_rolling_demo		Demostração Automática
dialog_tools			Ferramentas
dialog_otheroptions		Outras Opções

dialog_options			Opções
dialog_high			Alto
dialog_medium			Médio
dialog_low			Baixo
dialog_enabled			Habilitado
dialog_disabled			Desabilitado

dialog_apply			Aplicar
dialog_close			Fechar
dialog_yes			Sim
dialog_yes_l			Sim
dialog_no			Não
dialog_no_l			não
dialog_ok			Aceitar
dialog_cancel			Cancelar
dialog_save			Salvar
dialog_abort			Abortar
dialog_restore_default		Configuração Padrão
dialog_load			Carregar

dialog_increase			Aumentar
dialog_decrease			Diminuir

dialog_time_am			am
dialog_time_pm			pm

dialog_playername		Nome do Jogador
dialog_teamname			Nome da Equipe
dialog_setplayername		Configurar Nome do Jogador
dialog_setteamname		Configurar Nome da Equipe

dialog_graphicsoptions		Gráficos
dialog_smoothlines		Linhas Suavizadas
dialog_borders			Fronteiras
dialog_citynames		Nomes de Cidades
dialog_countrynames		Nomes de Países
dialog_messages			Mensagens
dialog_water			Água
dialog_radiation		Radiação
dialog_lowdetailworld		Poucos Detalhes
dialog_objecttrails		Trilhas de Objetos
dialog_lobbyeffects		Efeitos na Sala de Espera

dialog_waternormal			Normal
dialog_watershaded			Sombreada

dialog_soundoptions			Som
dialog_unavailable			não disponível
dialog_soundlibrary			Biblioteca
dialog_directsound			DirectSound
dialog_softwaresound			Som por Software
dialog_mixfrequency			Frequência
